,step,accuracy,loss
117,117,0.78125,0.4998631775379181
118,118,0.70703125,0.5573159456253052
119,119,0.75,0.5244656801223755
120,120,0.70703125,0.5639620423316956
121,121,0.71875,0.5432108640670776
122,122,0.72265625,0.5523457527160645
123,123,0.73828125,0.5476911664009094
124,124,0.7265625,0.545775830745697
125,125,0.7421875,0.5309081673622131
126,126,0.76171875,0.4874802529811859
127,127,0.7265625,0.5273880362510681
128,128,0.6796875,0.5644022822380066
129,129,0.69921875,0.5407796502113342
130,130,0.71484375,0.5580907464027405
131,131,0.73046875,0.5483295321464539
132,132,0.703125,0.5408432483673096
133,133,0.734375,0.5308657884597778
134,134,0.71875,0.5276286602020264
135,135,0.734375,0.5275700092315674
136,136,0.71875,0.5141032338142395
137,137,0.75,0.5028641223907471
138,138,0.81640625,0.4930932819843292
139,139,0.671875,0.5636654496192932
140,140,0.6953125,0.5417023301124573
141,141,0.76953125,0.5051121115684509
142,142,0.7578125,0.502129852771759
143,143,0.74609375,0.5036252737045288
144,144,0.7421875,0.5075457692146301
145,145,0.73828125,0.5133709907531738
146,146,0.77734375,0.49968576431274414
147,147,0.7421875,0.5062593817710876
148,148,0.734375,0.524736762046814
149,149,0.71875,0.5105710625648499
150,150,0.7421875,0.5132116675376892
151,151,0.7265625,0.5503798723220825
152,152,0.69140625,0.5805704593658447
153,153,0.734375,0.48811811208724976
154,154,0.73046875,0.5037858486175537
155,155,0.76171875,0.49708399176597595
156,156,0.7421875,0.49933934211730957
157,157,0.7421875,0.5037703514099121
158,158,0.73828125,0.4879152178764343
159,159,0.75390625,0.4965890645980835
160,160,0.75,0.5130948424339294
161,161,0.70703125,0.4989699125289917
162,162,0.7421875,0.5105025172233582
163,163,0.796875,0.44345125555992126
164,164,0.7265625,0.5563423037528992
165,165,0.71875,0.5465413331985474
166,166,0.77734375,0.4955480694770813
167,167,0.7109375,0.5358111262321472
168,168,0.7421875,0.5569093227386475
169,169,0.734375,0.4825369715690613
170,170,0.77734375,0.464253306388855
